HRH2	GNAS
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
NFKB1	NFKB2
GNAS	GNB5
GNB5	MAPK1
MAPK1	ELK1
SRC	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
SRC	HRAS
HRAS	JUN
HRAS	FOS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNB5	MAPK3
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	ATF2
PRKACA	ATF4
GNB5	MAPK8
MAPK8	JUND
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SRC	STAT3
STAT3	MYC
MAPK1	ETS1
SRC	PIK3R5
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
IFNG	IDO1
TNF	ICAM1
CREB3	CRH
CREB3	FOSB
CREB1	CRH
CREB1	FOSB
ATF2	CRH
ATF2	FOSB
ATF6B	CRH
ATF6B	FOSB
CREB3L4	NPY
CREB3L4	BDNF
ATF4	NPY
ATF4	BDNF
CREB3L2	CRH
CREB3L2	FOSB
CREB3L3	CRH
CREB3L3	FOSB
CREB5	BDNF
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
JUN	RELA
FOS	CCND1
NFKB1	CCL5
MAPK12	IL8
HIF1A	TFRC
HIF1A	VEGFC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
TP53	SESN3
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
MAPK1	IL18
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
PPARG	APOE
USF2	APOE
TP53	AQP1
RARG	CRABP2
NFKB1	CSF1
CREB1	IFNG
EGR1	IFNG
STAT4	IFNG
STAT5A	IFNG
CEBPA	IGF2
CEBPB	IGF2
FLI1	IGFBP3
SP1	IGFBP3
CEBPB	IL1A
CEBPD	IL1A
CREB1	IL1B
REL	IL1B
CREB1	IL2
CREM	IL2
ETS2	IL2
NFKB1	IL2
REL	IL2
RELA	IL2
CEBPB	IL4
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
CREM	PLAT
JUN	PLAT
ATF1	PPP2R4
ATF2	PTGS2
