TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	ESR1
MAPK8	TP53
MAPK1	MYC
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
MAPK1	STAT3
MAPK1	STAT1
PRKACA	CREB1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
MAPK1	ETS1
PRKACA	ATF1
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
NFKB1	NFKB2
PRKACA	ATF2
RAPGEF3	MAPK14
MAPK14	MAX
MAPK8	FOS
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
NFKB1	MYB
PRKACA	MAPK3
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
JUP	MYC
JUP	CCND1
TP53	GADD45G
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER3
CREB1	PER2
ARNTL	CRY1
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORA
ARNTL	RORB
ARNTL	RORC
ARNTL	BHLHE41
MAPK14	CXCL1
ELK1	XIAP
NFAT5	TNF
CREB3L2	IL8
CREB5	IL8
CREBBP	BCL2
CREBBP	VEGFC
EP300	BCL2
EP300	VEGFC
HIF1A	TIMP1
ARNT	EDN1
ARNT	ENO1
YAP1	ID2
YAP1	ID3
YAP1	ID4
YAP1	AXIN1
YAP1	AXIN2
YAP1	NKD1
WWTR1	ITGB2
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
STAT3	CCND2
STAT3	SOCS5
STAT5A	SOCS2
STAT5B	SOCS7
STAT6	CCND1
CREB3	MITF
MAPK3	CCND1
RELA	CCL4L1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
NFKB2	TRAF3
RELA	TRAF6
IRF1	IL12A
PPARA	CYP8B1
PPARA	CYP4A22
PPARA	ACADM
PPARG	FABP4
PPARG	SLC27A1
PPARG	PCK2
RXRA	APOA2
NFYA	HLA-DOB
MAPK8	IL18
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
MAPK9	IL23A
MAPK13	TNF
RELA	CEBPB
RELA	IL1A
RELA	IL18
NFAT5	PTGS2
USF2	ABCA1
SP1	ADA
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
PAX5	FCER2
CEBPA	FN1
CEBPB	HP
CREB1	HPGD
BCL3	NFKB2
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME1
TP53	NME1
MYC	NME2
JUN	NPPA
FOS	NQO1
JUND	NQO1
HIF1A	NR4A1
RELA	NR4A1
MYC	NRAS
CREB1	NRAS
JUN	NRAS
MYB	NRAS
TFAP2A	POLD2
USF1	PTPN6
TP53	RELA
EGR1	SOD1
SP1	SPN
EGR1	THBS1
JUN	TIMP1
TFAP2A	TNPO1
JUN	TP53
