TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
CREBBP	SP1
PRKACA	CREB1
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
RXRA	RARB
PRKACA	GSK3B
GSK3B	ARNTL
PRKACA	PRKAG2
PRKAG2	CRY1
CRY1	NPAS2
GSK3B	CLOCK
PRKACA	XBP1
XBP1	CEBPA
PRKAG2	MTOR
MTOR	PPARG
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
MAPK8	JUN
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	MAPK1
MAPK1	MYC
MAPK1	ESR1
PRKACA	RELA
TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
CREB5	ARC
CREB5	PDYN
NFKB1	BIRC7
GLI1	WNT4
GLI1	HHIP
GLI1	WNT6
GLI1	WNT9B
GLI1	WNT5B
GLI2	HHIP
GLI3	WNT5A
GLI3	WNT2B
GLI3	WNT9B
NR1H4	ABCB4
NR1H4	ABCB11
SMAD2	CDKN2B
SMAD3	CDKN2B
CLOCK	BHLHE40
CLOCK	PER3
FOSB	CDK5
FOSB	GRIA2
ELK1	XIAP
ATF2	PCNA
ATF6B	PCNA
IRF7	IFNB1
MAPK10	JUN
CREB3L2	IL8
CREBBP	EDN1
CREBBP	ENO2
CREBBP	ANGPT2
CREBBP	PFKFB3
CREBBP	BCL2
EP300	EDN1
EP300	ENO2
EP300	ANGPT2
EP300	PFKFB3
EP300	BCL2
HIF1A	EDN1
HIF1A	ENO2
HIF1A	ANGPT2
HIF1A	PFKFB3
MITF	TYRP1
TCF7L2	MITF
CREB3L1	MITF
EPAS1	TGFB2
FOS	MMP1
FOS	VEGFA
FOS	VEGFB
JUN	MMP9
MYC	CKS1B
NFKB1	TRAF4
RELA	CCND1
RELA	MYB
CREB3L3	MCL1
CREB3L1	MCL1
PPARA	ACSL4
PPARD	LPL
PPARD	PDPK1
PPARD	UCP1
PPARG	GK
RXRA	EHHADH
RXRA	FABP3
RXRA	ACSL3
RXRB	CYP7A1
RXRB	ACSL1
RXRG	SLC27A4
RXRG	CYP8B1
CREB1	HLA-DPA1
CREB1	HLA-DPB1
CREB1	HLA-DQA1
CREB1	HLA-DQA2
CREB1	HLA-DQB1
NFYB	HLA-DOB
NFYB	HLA-DPA1
NFYC	HLA-DQA2
MAPK8	IL1A
RFXAP	HLA-DMB
RFXAP	HLA-DRA
RFXANK	HLA-DMA
SP1	CDK1
SP1	CDKN1C
SP1	CD9
SP3	CDKN1A
SP3	CTSL
EGR1	EGFR
STAT5B	EGFR
NFKB1	F3
ATF2	HLA-E
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
EGR1	JUN
ESR1	JUN
SMAD4	JUN
TFAP2A	KRT5
SP3	LCAT
SP3	LHB
JUN	MAT2A
NFKB1	MAT2A
JUN	MGP
JUN	MT1A
MYB	MYB
WT1	MYB
NFKB1	MYC
POU2F1	MYC
MYB	NCL
TP53	NFIC
SP1	PDHA1
TFAP2A	PDHA1
ATF3	PENK
FOS	PENK
USF1	PTPN6
RELA	S100A6
RARB	S100A8
SPI1	SCARB1
JUN	SFTPA1
EGR1	SOD1
JUN	SPP1
POU2F2	SPP1
JUN	TFF1
CREB1	TH
EGR1	THBS1
SMAD4	TIMP1
STAT3	TIMP1
EGR1	TNF
SMAD2	TNNC1
TFAP2A	TNPO1
PAX5	TP53
TP53	TP53
SP1	TTR
ERG	VWF
