SMO	STK36
STK36	GLI1
GLI1	BMP2
BMP2	ACVR1
ACVR1	MAPK1
MAPK1	TP53
MAPK1	ATF2
MAPK1	CREB1
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	ATF4
ACVR1	SMAD2
SMAD2	E2F4
MAPK1	ATF6B
MAPK1	CREB5
MAPK1	JUN
GLI1	WNT16
WNT16	FZD10
FZD10	PLCB1
PLCB1	PRKCA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS1
SMAD2	SP1
FZD10	CTNNB1
CTNNB1	CREBBP
CREBBP	RXRA
RXRA	PPARG
MAPK1	MYC
MAPK1	STAT3
CTNNB1	EP300
CREBBP	HIF1A
MAPK1	FOS
ACVR1	MAPK3
ACVR1	MAPK14
MAPK14	MAX
MAPK1	ESR1
CREBBP	ARNT
SMAD2	YAP1
MAPK14	JUND
MAPK1	NFKB1
MAPK1	RELA
GLI3	WNT16
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	CDKN1A
ARNT	FIGF
TEAD3	CTGF
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS4
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MYC	VEGFC
RXRA	ACADL
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
MYB	TSC22D3
MYBL1	TSC22D3
EGR1	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
USF2	B2M
TFAP2A	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
JUN	MMP7
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
