ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PIK3R5	AKT3
AKT3	JUN
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	ETS1
PRKCA	FOS
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	GSK3B
GSK3B	MYC
ETS1	SPI1
PRKACA	PPARA
PRKCA	CREB1
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HIF1A	EP300
HIF1A	ARNT
AKT3	FOXO3
AKT3	CHUK
CHUK	IRF7
MAPK1	STAT1
STAT1	MYD88
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
AKT3	NFKB1
PRKCA	MAPK3
AKT3	RELA
PRKCA	EGLN2
EGLN2	EPAS1
MAPK1	SMAD4
PRKCA	CREB3
CREB3	ATF1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
CTNNB1	HNF1A
PRKACA	PDX1
GSK3B	ARNTL
ARNTL	NPAS2
GSK3B	CLOCK
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	SMAD3
AKT3	IRF3
MAPK1	ESR1
KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CALML6	HRAS
HRAS	JUN
CACNA1C	INS
INS	MAPK1
HRAS	FOS
INS	PIK3R5
INS	NR1H3
NR1H3	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALML6	ADCY1
ADCY1	PRKACA
MAPK1	MYC
CAMK2A	CREB1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
CAMK2A	EP300
CREBBP	ARNT
MAPK1	FOXO3
INS	NGFR
NGFR	IRAK1
IRAK1	IRF7
CAMK2A	STAT1
CREBBP	LEF1
MAPK1	NFKB1
INS	MAPK3
MAPK1	RELA
CREBBP	EPAS1
CAMK2A	ATF1
INS	EGFR
CALML6	CAMKK2
CAMKK2	PRKAG2
PRKAG2	CRY1
CRY1	NPAS2
ATF6B	BDNF
CREB3L4	CRH
CREB3L2	BDNF
CREB3L3	BDNF
NR3C2	ATP1A4
CREB3L1	PDYN
CREB5	ARC
CREB5	FOS
NFKB1	BIRC8
NFKB1	BCL2
NFKB1	BCL2L1
GLI1	WNT16
GLI1	WNT4
GLI1	PTCH1
GLI1	BMP2
GLI1	WNT3
GLI1	WNT5A
GLI1	WNT9A
GLI1	WNT9B
GLI1	WNT10A
GLI1	PTCH2
GLI2	WNT4
GLI2	PTCH1
GLI2	WNT1
GLI2	WNT3
GLI3	WNT7B
GLI3	WNT10B
GLI3	WNT11
GLI3	PTCH2
NR1H4	ABCC2
NR1H4	SLC51A
E2F2	CCNE1
E2F3	CCNE2
SMAD2	CDKN1A
ARNTL	PER3
ARNTL	PER2
CREB3	IL8
CREB1	IL8
EP300	FASLG
IRF3	IFNB1
NFATC4	TNF
MAPK8	SMAD4
CREB3L1	IL8
CREB5	PCNA
CREBBP	FLT1
CREBBP	ANGPT1
CREBBP	NOS2
CREBBP	PDK1
CREBBP	VEGFA
CREBBP	HKDC1
EP300	FLT1
EP300	ANGPT1
EP300	NOS2
EP300	PDK1
EP300	VEGFA
EP300	HKDC1
HIF1A	FLT1
HIF1A	ANGPT1
HIF1A	NOS2
HIF1A	PDK1
SMAD4	ID4
SMAD4	SERPINE1
SOS1	BCL2L1
SOS2	SPRY1
SOS2	CCND1
SOS2	BCL2L1
SOS2	SPRY4
STAT2	SOCS7
STAT2	MYC
EP300	MITF
LEF1	MITF
CREB3L3	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB2	CXCL12
RELA	GADD45B
RELA	NFKB2
RELA	TRAF1
RELB	TNFSF13B
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CB	AKT2
PIK3CD	PDPK1
PIK3CG	AKT2
PIK3R2	AKT3
PLCG2	EGFR
PIK3R3	AKT2
TP53	TP53I3
NFKB1	VEGFC
RELA	FIGF
EPAS1	FIGF
EPAS1	VEGFB
ETS1	VEGFA
FOS	IL8
AR	KLK3
JUN	MMP1
MYC	MMP1
MYC	VEGFC
NFKB1	NOS2
NFKB1	TRAF6
NFKB2	BCL2L1
RELA	TRAF4
PIAS2	CDKN2B
FOXO3	CDKN1B
FOXO3	G6PC
NFKB1	MYB
PPARA	CPT2
PPARA	ACAA1
PPARA	HMGCS2
PPARA	ACSBG2
PPARA	ACOX2
PPARD	ILK
PPARG	CPT1A
PPARG	LPL
PPARG	MMP1
RXRA	APOA5
RXRA	CPT1C
RXRA	DBI
RXRA	SCP2
RXRA	CD36
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	DBI
RXRB	EHHADH
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL3
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRB	SLC27A1
RXRB	ACOX1
RXRB	ACSL5
RXRB	SCD
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1A
RXRG	CPT1B
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP27A1
