ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	AKT3
AKT3	JUN
CREBBP	SP1
AKT3	NFKB1
AKT3	RELA
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	STAT1
STAT1	MYD88
MAPK1	TP53
PRKCA	PRKACA
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
CACNA1C	INS
INS	PIK3R5
CREBBP	ARNT
CALML6	HRAS
HRAS	JUN
INS	MAPK1
MAPK1	NFKB1
MAPK1	RELA
CAMK2A	STAT1
CALML6	ADCY1
ADCY1	PRKACA
INS	NR1H3
NR1H3	RXRA
CREBBP	RXRB
CREBBP	RXRG
GLI3	WNT4
TP53	GADD45G
ELK1	XIAP
JUN	CCND2
FOS	MMP9
ATF4	PCNA
CREB3L2	IL8
CREB3L3	IL8
CREBBP	GAPDH
CREBBP	HK3
CREBBP	BCL2
CREBBP	TFRC
EP300	GAPDH
EP300	HK3
EP300	BCL2
EP300	TFRC
HIF1A	GAPDH
HIF1A	HK3
SOS1	SPRY2
SOS1	SPRED1
STAT4	CCND1
STAT5A	CCND1
STAT5A	SOCS2
STAT5B	MYC
STAT6	MYC
STAT6	CCND1
EPAS1	PGF
NFKB2	TRAF3
PPARA	CYP8B1
PPARG	FABP4
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK9	IL18
MYC	EIF4E
ERG	MMP9
BCL3	NFKB2
USF1	PTPN6
MYBL2	RBL1
NFKB1	SAA2
JUN	SERPINB2
EGR1	SOD1
MYBL2	SP1
CREB1	TF
NFIC	TFPI2
EGR1	THBS1
CREB1	TIMP1
CEBPB	TNF
ETS1	TNF
TFAP2A	TNPO1
MYC	TP53
FOS	TSHB
TP53	TYMS
