CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
RAF1	NFKB1
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PRKCE	MAPK8
MAPK8	TP53
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	PPARA
PRKCE	ARAF
ARAF	MAPK1
MAPK1	ESR1
MAPK1	ETS1
RAF1	RELA
MAPK8	SMAD3
SMAD3	SP1
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
GLI3	PTCH1
STAT4	SOCS3
STAT5B	CCND3
HIF1A	TGFB1
JUN	VEGFC
NFKB2	TRAF1
CREB1	BCL2
PPARA	CYP4A11
PPARA	ACOX1
PPARG	CPT1B
PPARG	UCP1
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYC	CSTB
NFKB1	CTSB
RELA	CTSB
TFAP2C	ESR1
ETV4	MMP9
