TCF7	BIRC5
ELK1	BIRC2
ATF4	IL8
RELA	MMP9
CREBBP	HK2
CREBBP	PGF
EP300	HK2
EP300	PGF
HIF1A	HK2
HIF1A	PGK1
ARNT	FIGF
YAP1	BIRC2
YAP1	CCND1
YAP1	SNAI2
WWTR1	FGF1
WWTR1	BBC3
SMAD1	ID4
TEAD1	SOX2
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
STAT5A	MYC
STAT5A	CCND1
STAT5A	SOCS5
STAT6	SOCS7
STAT6	MYC
TP53	RRM2B
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
RFXAP	HLA-DOA
PPARG	SAT1
CREB1	ADRB2
CEBPA	FN1
ETS2	PLAU
ESR1	PTMA
SPI1	SERPINB1
ETS1	SLC26A3
JUN	TFPI2
HOXA5	TH
ELK1	TNF
SP3	TNNC1
POU2F1	TXNRD1
NFKB1	VWF
