GLI3	WNT5A
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7L2	MYC
ELK1	BIRC2
NFATC2	TNF
NFATC4	TNF
RELA	MMP9
CREBBP	LDHA
CREBBP	NOS2
CREBBP	PGF
EP300	LDHA
EP300	NOS2
EP300	PGF
HIF1A	LDHA
HIF1A	NOS2
HIF1A	BCL2
HIF1A	TIMP1
ARNT	GAPDH
ARNT	HK2
YAP1	ID2
YAP1	AXIN1
WWTR1	ITGB2
RELA	TRAF1
PIK3CD	PDPK1
PLCG2	EGFR
RXRB	MMP1
RXRG	ACSL3
RXRG	ACADM
RXRG	ANGPTL4
IRF7	IFNA17
JUN	TNF
STAT1	CXCL11
NFYB	HLA-DQB1
MAPK8	IL18
MAPK12	IL1A
SP2	CCND1
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
EGR1	COL2A1
SP3	COL2A1
PPARG	GADD45A
RARA	GADD45A
JUN	MT1A
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
ATF1	PLAUR
ESR1	PTMA
CEBPA	SERPINC1
EPAS1	SERPINE1
ETS1	SLC26A3
POU2F1	TFPI2
ATF1	TFRC
HOXA5	TH
POU2F1	TNF
SP3	TNF
SP3	TNNC1
USF2	TYMS
ESR1	UBE2L3
POU2F1	VWF
