HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
HRAS	RAF1
RAF1	NFKB1
PDE4A	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	NFKB1
ELK1	BIRC2
RELA	MMP9
CREBBP	PGF
EP300	PGF
NFYA	LOC101060835
CEBPA	TWF2
ESR1	PTMA
ETS1	SLC26A3
HOXA5	TH
SP3	TNNC1
