AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
HRAS	JUN
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
HRAS	RAF1
RAF1	NFKB1
MAPK1	ETS1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD3
MAPK1	SMAD4
PIK3R5	HIF1A
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
MAPK1	CREB1
NFKB1	NFKB2
HRAS	FOS
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
ATF6B	ARC
ATF4	ARC
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	HHIP
GLI3	BMP4
ELK1	CCND2
STAT1	MYD88
CREBBP	TEK
EP300	TEK
SOS1	SPRY3
STAT5A	SOCS4
STAT5B	SOCS5
CREB1	MITF
CREB3L2	MITF
MAPK3	CCND1
RELA	TNFAIP3
PIK3R5	AKT3
PIK3CD	AKT2
BBC3	TP53
TP53	PERP
MYC	PGF
ATF6B	BCL2
FOXO3	G6PC2
PPARA	SCD
PPARD	CPT1A
PPARG	CD36
RXRA	CYP4A11
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
MYD88	IFNA8
NFKB1	IL23A
NFYA	HLA-DOB
NFYA	HLA-DQA1
MAPK9	IL1A
MAPK9	IL12B
USF2	ABCA1
ATF1	BCL2
TP53	CAV1
CREB1	F3
JUND	F3
USF1	FBP1
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
TP53	IL8
CEBPA	ITGA2
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
FLI1	MMP9
PPARG	MMP9
TP53	PTTG1
WT1	SOD1
USF2	THBS1
CEBPB	TOP1
