HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
HRAS	MAPK1
MAPK1	TP53
HRAS	JUN
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
MAPK1	ETS1
MAPK1	ATF2
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	MYC
HRAS	MAPK14
MAPK14	MAX
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
SMAD2	YAP1
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	FOS
MAPK1	STAT1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	ETS2
MAPK1	STAT3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
HRAS	MAPK3
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ATF4
MAPK1	ESR1
MAPK1	ATF6B
MAPK1	CREB5
STAT1	MYD88
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	ELK1
ITGAL	PTK2
PTK2	ITGB1
ITGB1	PRKACA
PTK2	MAPK1
ITGAL	SRC
SRC	HRAS
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
STAT3	MYC
PTK2	MAPK14
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
LEF1	YAP1
SRC	PIK3R5
STAT3	STAT1
CTNNB1	CREBBP
CTNNB1	EP300
STAT3	STAT5A
STAT3	STAT5B
PTK2	MAPK3
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
ITGAL	CRK
CRK	ABL1
ABL1	RB1
HDAC2	THRB
THRB	PIK3R5
PIK3R5	PLCE1
HDAC2	THRA
THRA	CTNNB1
CREBBP	TP53
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
CREBBP	CREB1
HDAC2	RB1
RB1	TFDP1
TFDP1	E2F4
CREBBP	SP1
THRB	GATA4
GATA4	SRF
SRF	ETS1
CREBBP	ATF2
CTBP1	TCF7
CTBP1	TCF7L2
CTBP1	TCF7L1
HDAC2	RBPJL
RBPJL	MYC
MYC	MAX
JUN	NFKB1
JUN	RELA
THRB	HIF1A
HDAC2	HDAC1
HDAC1	FOS
MYC	PIAS2
PIAS2	STAT1
SRF	ETS2
FOS	IL6
IL6	STAT3
PIAS2	STAT5A
PIAS2	STAT5B
PIAS2	STAT2
PIAS2	STAT4
PIAS2	STAT6
RBPJL	FGR
FGR	PTK2
CREBBP	CREB3
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	ATF4
CREBBP	ATF6B
CREBBP	CREB5
FOS	IL1B
IL1B	IL1R1
IL1R1	MYD88
SRF	ELK1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MYC	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ATF2	IL8
RELA	IL6
CREBBP	CDKN1B
CREBBP	PFKL
EP300	CDKN1B
EP300	PFKL
HIF1A	CDKN1B
HIF1A	BCL2
ARNT	ENO1
YAP1	ID4
YAP1	NKD1
WWTR1	SERPINE1
TEAD1	BIRC5
TEAD4	CTGF
TEAD4	AXIN2
TEAD3	CCND1
TCF7L1	BIRC2
TEAD2	GLI2
TEAD2	CCND2
FOXO1	PCK1
SOS1	SPRY1
SOS1	SPRED1
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
TP53	RPRM
RXRA	ACADL
RXRA	APOA1
RXRA	APOA2
RXRA	ACADM
MAPK14	IL1A
MAPK14	IL12B
