HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
NFKB1	MYB
MAPK1	CREB1
RAF1	RELA
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
SMAD2	SP1
MAPK1	STAT3
HRAS	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
HRAS	JUN
MAPK1	ATF2
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	SMAD3
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB5
LEF1	PPARD
NFKB1	NFKB2
MAPK1	ETS1
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	RBPJL
CREBBP	RBPJ
ETS1	SPI1
PRKACA	XBP1
XBP1	CEBPA
CREB3	ATF1
SMAD2	WWTR1
MAPK1	ETS2
HRAS	MAPK14
MAPK14	CEBPB
HIF1A	EP300
HIF1A	ARNT
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	FOS
HRAS	MAPK3
RB1	E2F2
RB1	E2F3
HRAS	PLCG1
PIK3R5	PLCG2
ITGAL	SRC
SRC	STAT3
STAT3	MYC
ITGAL	PTK2
PTK2	MAPK1
SRC	CTNNB1
CTNNB1	CREBBP
CREBBP	MYB
SRC	RAC1
RAC1	RELA
ITGAL	CRK
CRK	ABL1
ABL1	RB1
STAT3	ESR1
ESR1	SP1
RAC1	NFKB1
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SRC	HRAS
STAT3	PPARGC1A
PPARGC1A	PPARA
SRC	GRB2
SRC	PIK3R5
PTK2	ITGB1
ITGB1	PRKACA
ITGAL	ICAM1
ICAM1	PLCG2
PLCG2	CAMK2A
CAMK2A	ATF1
PTK2	MAPK14
CTNNB1	EP300
PTK2	MAPK3
ICAM1	PLCG1
HDAC2	RBPJL
RBPJL	MYC
HDAC2	RB1
RB1	TFDP1
TFDP1	E2F4
HDAC2	THRA
THRA	CTNNB1
CREBBP	TP53
CREBBP	CREB1
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
JUN	RELA
CREBBP	SP1
JUN	NFKB1
HDAC2	HDAC1
HDAC1	FOS
FOS	IL6
IL6	STAT3
MYC	PIAS2
PIAS2	STAT5A
PIAS2	STAT5B
PIAS2	STAT1
PIAS2	STAT2
PIAS2	STAT4
PIAS2	STAT6
CTBP1	TCF7
CTBP1	TCF7L2
CTBP1	TCF7L1
CREBBP	ATF2
IL6	LEPR
LEPR	PPARA
HDAC2	THRB
THRB	PIK3R5
EGFR	SOS1
EGFR	SOS2
CREBBP	CREB3
CREBBP	CREB3L2
CREBBP	CREB3L1
YAP1	SMAD3
HDAC2	RXRA
RXRA	PPARG
CREBBP	ATF6B
CREBBP	ATF4
CREBBP	CREB5
FOS	TNF
TNF	IKBKB
IKBKB	NFKB2
THRB	GATA4
GATA4	SRF
SRF	ETS1
HDAC2	RBPJ
SRF	SPI1
PIK3R5	PLCE1
YAP1	WWTR1
SRF	ETS2
NFKB1	CEBPB
THRB	HIF1A
HDAC2	RXRB
HDAC2	RXRG
RBPJL	FGR
FGR	PTK2
PIK3R5	PLCG1
JUP	MYC
JUP	CCND1
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L1	CRH
GLI3	WNT4
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
