DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	TP53
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ETS1
ETS1	SPI1
GATM	NOS3
NOS3	CREB1
MAPK1	ETS2
SMAD2	WWTR1
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
NOS1	HRAS
HRAS	JUN
MAPK1	NFKB1
SMAD2	E2F4
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
MAPK1	ESR1
HRAS	MAPK14
MAPK14	MAX
HRAS	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
MAPK1	STAT3
STAT3	STAT5A
STAT3	STAT5B
MAPK1	RELA
NR3C2	ATP1A2
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
ARNTL	PER3
NFAT5	TNF
CREB3L4	IL8
CREB5	IL8
CREBBP	ENO3
CREBBP	VEGFC
EP300	ENO3
EP300	VEGFC
HIF1A	ENO3
HIF1A	TIMP1
ARNT	ENO2
ARNT	HK2
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ID2
YAP1	ITGB2
YAP1	AXIN1
YAP1	CCND2
WWTR1	ITGB2
WWTR1	AREGB
SMAD3	CTGF
TEAD1	CTGF
TEAD3	CCND3
TCF7L1	CCND3
CREB3	MITF
CREB3L1	MITF
PIK3R1	AKT2
PIK3R2	AKT1
RBPJL	HES1
RBPJ	HES1
TP53	PIDD
TP53	BAI1
RXRB	LPL
RXRB	ME1
RXRB	ACOX1
RXRB	ANGPTL4
RXRB	PLTP
RXRB	SCD
RXRG	ACSBG1
RXRG	GK2
RXRG	ACADL
RXRG	APOA1
RXRG	ILK
RXRG	LPL
RXRG	ACOX1
RXRG	PCK1
RXRG	ACSL5
RXRG	SCD
RXRG	SCD5
RXRG	ACSBG2
JUN	IL1B
JUN	IL12B
JUN	CCL3L1
JUN	CCL4
NFKB1	IL12A
NFKB1	CCL3
RELA	CCL3L3
RELA	CCL3
STAT1	CXCL9
SPI1	FCGR1A
CREB1	LOC100507709
CREB1	HLA-DMA
CREB1	HLA-DMB
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFKB1	IL23A
NFYC	LOC101060835
MAPK8	IL18
MAPK11	IL12B
MAPK10	IL12B
MAPK10	IL18
RFXANK	HLA-DQB1
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
NFAT5	PTGS2
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
USF1	CTSB
ETS1	DNTT
NFKB1	ELF3
ATF1	ERBB2
NFKB1	F3
ETS1	FOSL1
ATF2	HLA-E
CEBPB	IL5
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
ATF1	NTS
TP53	RELA
RARG	S100A8
SP1	SPN
SP1	SPP1
JUN	TIMP1
TFAP2A	TIMP1
JUN	TP53
USF1	TP53
