PTGS1	ADCY5
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY5	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
PRKACA	CREB1
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
PRKACA	MAPK1
MAPK1	ESR1
PRKACA	ATF2
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
CREB3	NPY
CREB1	NPY
CREB3	IL8
CREB1	IL8
CREB3L1	IL8
CREB5	PCNA
CREBBP	VEGFA
CREBBP	HKDC1
EP300	VEGFA
EP300	HKDC1
CREB3L2	MITF
RXRB	CYP8B1
RXRB	EHHADH
RXRG	APOA5
RXRG	CPT1B
NFYB	HLA-DPA1
RELA	CEBPB
RELA	IL1A
RELA	IL18
RFX5	HLA-DQA1
RFX5	HLA-DQA2
SP3	CD14
EGR1	CD44
USF1	CTSB
NFKB1	HMOX1
STAT5B	IFNG
EGR1	IGF2
PPARD	RELA
CREB1	REN
USF1	SP1
ETS1	SPP1
ETV4	TIMP1
JUNB	TIMP1
FOS	TP53
NFIC	TP53
