CYP11B1	HSD11B1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB3
CREB3	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKCA	MAPK1
MAPK1	TP53
CREB3	EP300
JAK2	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PRKCA	ATF2
MAPK1	ELK1
ELK1	EGR1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	MTOR
MTOR	PPARG
STAT3	FOXO3
MAPK1	ETS1
PRKCA	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKCA	CREB1
PRKCA	HRAS
HRAS	JUN
PRKCA	FOS
PRKACA	PPARA
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
JAK2	STAT1
STAT1	TRAF6
TRAF6	IRF7
STAT1	MYD88
CREB3L3	NPY
CREB5	NPY
NR3C2	ATP1A4
NR3C2	ATP1B3
CREB3L3	ARC
CREB3L1	PDYN
RELA	BIRC3
GLI1	WNT16
GLI1	WNT8A
GLI1	WNT9A
NPAS2	PER2
CLOCK	RORC
RBPJ	FCER2
CTNNB1	CCND3
ATF2	IL8
EGR3	FASLG
EP300	FASLG
RELA	IL6
CREBBP	CDKN1B
CREBBP	FIGF
CREBBP	FLT1
CREBBP	PFKL
EP300	CDKN1B
EP300	FIGF
EP300	FLT1
EP300	PFKL
HIF1A	CDKN1B
HIF1A	FIGF
HIF1A	FLT1
SOS1	SPRY3
STAT1	CCND1
STAT1	SOCS3
HNF1A	HNF4G
NFKB1	FIGF
FOS	IL8
JUN	MMP1
NFKB1	TRAF6
RXRA	ACSBG1
RXRA	UCP1
RXRB	CYP27A1
RXRB	FABP3
RXRB	CYP4A22
RXRG	CPT1C
RXRG	CYP7A1
RXRG	FABP4
IRF7	IFNA10
NFYA	HLA-DQA1
NFYC	HLA-DRB4
NFYC	HLA-DRB5
MAPK9	IL1A
RFX5	HLA-DOA
RFX5	HLA-DOB
SP1	REL
USF2	ABCA1
USF1	B2M
REL	CSF2
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
SP1	IL2
STAT5B	IL2RA
ETS2	IL5
POU2F1	IL5
JUN	IVL
CREB1	JUN
PGR	KLK3
SP1	KRT5
PPARG	LIPA
ETS1	LYZ
BRCA1	PCNA
FOS	PDHA1
PPARG	PTGS2
MYC	PTMA
SP1	RPL15
RARG	S100A9
TP53	S100B
NFIC	SFTPC
ETV4	SPP1
TFAP2A	TAF7
CEBPA	TF
HOXA4	TH
SMAD3	TIMP1
ATF1	TNF
ATF2	TNF
SMAD4	TNNC1
PAX2	TP53
CREB1	TRH
STAT3	TRH
