AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	ESR1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	JUN
PRKACA	PPARA
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
MAPK1	ETS1
PRKACA	CREB1
GLI3	WNT16
GLI3	PTCH1
CTNNB1	CCND2
NFKB1	TNF
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB4
HIF1A	SERPINE1
VDR	ATP2B1
STAT3	VEGFB
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TSC22D3
CREB1	CD55
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUN	MMP7
ETV4	MMP9
USF2	PTGS2
PPARA	SERPINE1
POU2F1	SFTPA1
JUN	TFRC
CREM	TH
ERG	TNNC1
SMAD3	TNNC1
HIF1A	VHL
