HRH2	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	ELK1
ELK1	EGR1
GNAS	SRC
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	XBP1
XBP1	CEBPA
LEF1	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SRC	PIK3R5
PIK3R5	HIF1A
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
CTNNB1	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
MAPK1	TP53
STAT3	STAT1
CTNNB1	EP300
HIF1A	ARNT
PRKACA	ATF2
MAPK1	ETS1
PRKACA	ATF4
STAT3	MYC
PRKACA	PPARA
NFKB1	NFKB2
STAT3	STAT4
HRAS	FOS
MAPK1	SMAD2
SMAD2	E2F4
GNB5	MAPK8
MAPK8	FOSB
THRA	RXRB
THRA	RXRG
STAT3	STAT5A
STAT3	STAT5B
CREBBP	EPAS1
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF6B
PRKACA	CREB5
PIK3R5	MTOR
MTOR	PPARG
STAT3	STAT2
STAT3	STAT6
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
NR3C2	FXYD2
NR3C2	SCNN1B
CREB3	ARC
CREB1	ARC
ATF2	ARC
ATF6B	ARC
ATF4	ARC
SMAD4	CDKN2B
TFDP1	CCNE1
TFDP2	CCNE2
TP53	CDKN1A
JUN	RELA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	CCND1
CREB1	IL8
MAPK8	SMAD4
MAPK9	JUN
CREB3L2	PCNA
CREB5	PCNA
CREBBP	PDK1
CREBBP	PFKFB1
CREBBP	SLC2A1
CREBBP	HKDC1
EP300	PDK1
EP300	PFKFB1
EP300	SLC2A1
EP300	HKDC1
HIF1A	PDK1
HIF1A	PFKFB1
HIF1A	TFRC
ARNT	EPO
ARNT	BCL2
ARNT	TF
ARNT	VEGFA
ARNT	HKDC1
STAT3	HIF1A
YAP1	FGF1
YAP1	ID1
YAP1	MYC
YAP1	AREGB
WWTR1	CTGF
WWTR1	BIRC5
SMAD1	ID2
SMAD2	SERPINE1
SMAD4	CTGF
TEAD1	CCND1
TEAD4	BIRC2
TEAD4	CCND2
TEAD3	SOX2
TCF7L1	SOX2
TEAD2	BIRC5
SMAD2	SLC2A1
VDR	SLC34A2
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CCL4L1
NFKB2	TNFSF13B
RELA	NFKB2
RELA	NFKBIA
RELB	TNFSF13B
RELB	ICAM1
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CG	AKT2
PIK3CG	PDPK1
PIK3R3	AKT2
PIK3R3	PDPK1
RBPJ	HES5
BBC3	TP53
TP53	SERPINB5
TP53	BAX
ETS1	CDK4
ETS1	FIGF
ETS1	MMP2
FOS	MMP1
NFKB1	TRAF4
NFKB2	BIRC2
IRF8	IL12B
IRF1	IL12B
CREB1	MCL1
RELA	MYB
CREB3L3	BCL2
PPARA	APOA2
PPARA	APOC3
PPARA	ME1
PPARD	LPL
PPARD	UBC
PPARG	PCK1
PPARG	ANGPTL4
PPARG	SCD
RXRA	EHHADH
RXRA	ACSL1
RXRA	ACSL6
RXRA	ACADM
RXRG	FABP4
IRF7	IFNA10
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFKB1	IL18
NFYB	HLA-DOB
NFYB	HLA-DPA1
NFYC	HLA-DMA
NFYC	HLA-DQB1
NFYC	HLA-DRB3
MAPK1	TNF
MAPK11	IL12B
MAPK9	IL12A
MAPK9	IL12B
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP2	CCND1
SP1	CD9
EGR1	COL2A1
SP3	COL2A1
REL	CSF2
STAT5A	EGFR
STAT5B	EGFR
POU2F1	IL4
CEBPB	IL5
JUN	IL5
POU2F2	IL5
CEBPA	IL6
CREB1	IL6
NFIC	IL6
USF1	IL6
TP53	IL8
CEBPA	ITGA2
BCL6	NFKB1
CEBPA	NFKB1
SPI1	NFKB1
TAL1	NFKB1
CREM	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTPN6
CREB1	REN
PPARG	SERPINE1
SP1	SERPINE1
SP1	SOD1
ETS1	SPP1
CREB1	TG
PAX8	TG
USF1	THBS1
JUNB	TIMP1
FLI1	TNNC1
JUN	TNNC1
E2F4	TOP1
NFIC	TP53
TFAP2A	VHL
ERG	VIM
