HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HRAS	MAPK8
MAPK8	JUND
HRAS	JUN
HRAS	FOS
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
MAPK1	ETS1
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	CREB1
HIF1A	ARNT
MAPK1	STAT3
MAPK1	STAT1
MAPK8	JUNB
MAPK1	TP53
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
MAPK1	ELK1
ELK1	EGR1
SMAD2	E2F4
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	MAPK14
MAPK14	CEBPB
PRKACA	XBP1
XBP1	CEBPA
ETS1	SPI1
THRA	RXRB
THRA	RXRG
SMAD2	YAP1
SMAD2	WWTR1
MAPK1	ETS2
TP53	TP73
SMAD4	LEF1
LEF1	PPARD
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ATF4
CREBBP	EPAS1
PIK3R5	GSK3B
GSK3B	ARNTL
ARNTL	NPAS2
GSK3B	CLOCK
MAPK1	ATF2
HRAS	MAPK11
HRAS	MAPK13
STAT1	MYD88
NFKB1	NFKB2
GLI2	WNT11
GLI2	WNT9A
GLI2	WNT10A
GLI3	BMP4
GLI3	WNT8B
GLI3	WNT2B
NR1H4	SLC51B
NR1H4	ABCB4
E2F3	CCNE1
SMAD2	CDKN2B
TP53	GADD45G
NPAS2	RORA
NPAS2	RORC
NPAS2	BHLHE40
NPAS2	NR1D1
CLOCK	CRY2
CLOCK	RORA
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
EGR3	FASLG
NFATC2	TNF
MAPK8	JUN
CREBBP	FIGF
CREBBP	LDHA
CREBBP	ANGPT4
EP300	FIGF
EP300	LDHA
EP300	ANGPT4
HIF1A	FIGF
HIF1A	LDHA
HIF1A	ANGPT4
HIF1A	TEK
ARNT	CDKN1A
ARNT	EGF
ARNT	ANGPT2
ARNT	HK3
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
SMAD2	CTGF
SOS1	SPRY1
PAX6	PDX1
HNF1A	HNF4G
CREB1	MITF
LEF1	MITF
RELA	IL1B
PIK3CB	AKT3
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
TP53	PERP
EPAS1	PDGFB
NFKB2	TRAF2
PPARA	CYP7A1
PPARG	CYP27A1
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRB	PCK2
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA16
MYD88	IFNA21
NFKB1	IL23A
NFYC	HLA-DQA2
MAPK1	IL1B
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL18
MAPK9	TNF
MAPK10	IL12B
MAPK10	IL18
RFX5	HLA-DPA1
RFX5	HLA-DPB1
RFX5	HLA-DQA1
RFX5	HLA-DQA2
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
SP1	COL4A2
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP3	ABCA1
USF1	ABCA1
USF2	ABCA1
SP1	ADA
CREB1	ADRB2
USF2	B2M
TP53	BAK1
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
SP1	CAV1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CD14
SP3	CD14
EGR1	CD44
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
ATF4	CGA
CREB1	CGA
EGR1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
REL	CSRP1
USF2	CTSB
SP1	CTSL
ETS1	DNTT
TFAP2A	EGFR
TP53	EGFR
TFAP2A	ERBB2
TP53	ERBB2
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CEBPA	GPX4
CREM	GPX4
E2F1	HIST1H2AM
USF1	HMOX1
USF2	HMOX1
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
PPARG	MMP9
EGR1	MYB
MYB	MYB
JUN	MYC
NFKB1	MYC
TP53	MYC
MYB	NCL
BCL3	NFKB2
CREB1	ODC1
WT1	ODC1
NFIC	PCK2
TP53	PCNA
ELK1	PDGFB
SP1	PDGFB
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
RARG	S100A9
CEBPA	SERPINC1
PPARD	SERPINE1
TFAP2A	TAF7
POU2F1	TFPI2
ATF1	TG
ATF1	TNF
POU2F1	TNF
ETS1	TNNC1
CREB1	TRH
USF2	TYMS
PAX1	VHL
SMAD3	ZFP36
