HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HIF1A	ARNT
MAPK1	FOXO3
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
RAF1	RELA
CREB3L4	FOS
CREB3L2	FOS
GLI3	BMP4
RBPJ	FCER2
CTNNB1	CCND3
NFATC4	TNF
RELA	IL6
CREBBP	NOS2
CREBBP	PFKL
EP300	NOS2
EP300	PFKL
HIF1A	NOS2
TP53	PERP
NFKB1	FIGF
RELA	PGF
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
NFYB	HLA-DRB1
RFXAP	LOC100507709
MYBL1	TSC22D3
STAT3	IRF1
SPI1	ITGB2
PPARG	MMP9
PPARG	PTGS2
MYC	PTMA
EPAS1	SERPINE1
NFIC	SFTPC
ATF1	TFRC
HOXA4	TH
SP3	TNF
SMAD4	TNNC1
ESR1	UBE2L3
