HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SMAD7
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	RAF1
RAF1	NFKB1
SMAD2	SP1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	CREB1
MAPK1	STAT3
MAPK1	ETS1
CREB5	BDNF
CTNNB1	CCND2
CREBBP	FASLG
MAPK10	SMAD4
CREBBP	EGF
CREBBP	PFKFB4
EP300	EGF
EP300	PFKFB4
HIF1A	EGF
RBPJ	HES1
NFYB	HLA-DPA1
MAPK11	NOS2
MAPK13	IL1A
MAPK13	IL18
MAPK13	NOS2
CEBPA	TWF2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF1	FBP1
CEBPB	IL4
USF2	PTGS2
USF1	S100A6
POU2F1	SFTPA1
LEF1	SPP1
CREM	TH
SP1	TIMP1
SMAD3	TNNC1
PAX8	TP53
