HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD3
RBPJ	FCER2
CTNNB1	CCND3
ATF2	IL8
RELA	IL6
CREBBP	CDKN1B
CREBBP	PFKL
EP300	CDKN1B
EP300	PFKL
HIF1A	CDKN1B
MITF	TYRP1
JUN	VEGFC
MYC	CDK4
NFKB2	TRAF1
RELA	NOS2
PPARA	CYP4A11
PPARA	ACSL3
PPARG	CPT1B
PPARG	ACSL6
NFYB	HLA-DOA
NFYC	HLA-DPA1
NFYC	HLA-DQA1
USF1	CTSB
CREB1	CYP11A1
CREB1	ERBB2
ELK1	ERBB2
USF1	GH2
SP1	GJA1
PPARG	PTGS2
MYC	PTMA
SP1	RPL15
NFIC	SFTPC
ETV4	SPP1
HOXA4	TH
SMAD3	TIMP1
SMAD4	TNNC1
PAX2	TP53
