SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
PRKCA	CREB1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKACA	PPARA
MTOR	PPARG
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK1	ESR1
MAPK1	ESR2
MAPK1	TP53
SMAD2	YAP1
SMAD2	WWTR1
PRKCA	HRAS
HRAS	JUN
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	EGLN2
EGLN2	EPAS1
CREB3	ATF1
MAPK1	ETS1
MAPK1	SMAD3
NFAT5	TNF
EGR3	FASLG
NFKB1	TNF
CREB5	IL8
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	VEGFC
EP300	FIGF
EP300	SERPINE1
EP300	VEGFC
HIF1A	FIGF
HIF1A	SERPINE1
ARNT	EGF
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT5A	SOCS1
STAT6	PIM1
HNF1A	HNF4G
EPAS1	TGFB1
ETS1	VEGFB
MYC	CDK4
NFKB1	CCND1
RELA	NOS2
FOXO3	PCK1
PPARA	ACSL3
PPARA	FADS2
PPARG	ACSL6
RXRA	CPT1B
NFYA	LOC100507714
NFYA	LOC100509457
NFYB	HLA-DQA2
MAPK1	NOS2
MAPK11	IL23A
CREB3L3	AQP2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
TP53	RELA
RARG	S100A9
PPARA	SERPINE1
SP1	SPN
TFAP2A	TAF7
JUN	TFRC
JUN	TIMP1
ATF1	TNF
ERG	TNNC1
JUN	TP53
CREB1	TRH
HIF1A	VHL
