CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
OGT	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
CREBBP	SP1
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	ESR1
OGT	AKT3
AKT3	RELA
AKT3	NFKB1
AKT3	JUN
OGT	GSK3B
GSK3B	MYC
AKT3	PPP1CA
PPP1CA	YAP1
PRKCA	CREB1
ELK1	BIRC2
ELK1	XIAP
RELA	MMP9
CREB3L2	IL8
CREBBP	PGF
CREBBP	BCL2
EP300	PGF
EP300	BCL2
ARNT	EDN1
STAT4	CCND3
STAT5B	CCND2
MITF	TYRP1
NFYC	HLA-DQA2
CEBPA	ABCB1
CEBPB	ABCB1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CHI3L1
MYBL2	COL1A1
ESR1	PTMA
USF1	PTPN6
ETS1	SLC26A3
EGR1	SOD1
HOXA5	TH
EGR1	THBS1
SP3	TNNC1
TFAP2A	TNPO1
