CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
OGT	NR1H3
NR1H3	RXRA
RXRA	RARB
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	ETS1
PRKCA	CREB1
MAPK1	TP53
MAPK1	STAT3
AKT3	RELA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
AKT3	JUN
PRKCA	ATF2
MAPK1	SMAD2
SMAD2	SMAD7
CRTC2	EP300
OGT	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PRKCA	CREB3
CREB3	ATF1
MAPK1	ELK1
CREB1	PCNA
CREBBP	FASLG
CREBBP	CDKN1A
CREBBP	EGF
EP300	CDKN1A
EP300	EGF
HIF1A	CDKN1A
HIF1A	EGF
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
MAPK1	CCND1
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
NFYA	LOC100509457
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP3	CD14
EGR1	CD44
ATF1	CGA
RELA	CSF2
ETS1	CSNK2A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
MYC	EIF4E
E2F1	HIST1H2AM
SP1	RPL10
USF1	S100A6
ETS2	SPP1
LEF1	SPP1
JUND	TIMP1
SP1	TIMP1
NFKB1	TP53
PAX8	TP53
ETS1	VWF
ETS2	VWF
NFIC	VWF
