DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
NOS1	HRAS
HRAS	JUN
MAPK1	MYC
MAPK1	RELA
SMAD2	YAP1
MAPK1	ETS2
GATM	NOS3
NOS3	CREB1
MAPK1	NFKB1
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
CREB1	PER1
CREB1	PER3
ARNTL	CRY1
ARNTL	CRY2
ARNTL	RORA
ARNTL	RORB
ARNTL	BHLHE41
HIF1A	TIMP1
ARNT	ENO1
CREB3L4	MITF
RELA	CCL4L1
RBPJL	HES5
TP53	RPRM
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFYA	HLA-DOB
NFYB	HLA-DRB1
MAPK8	IL18
MAPK8	IL23A
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	FOSL1
SP1	COL4A2
USF1	CTSB
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME1
MYC	NME2
JUN	NPPA
JUND	NQO1
HIF1A	NR4A1
MYC	NRAS
CREB1	NRAS
MYB	NRAS
