PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	JUN
CTNNB1	CREBBP
CREBBP	SP1
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
CREBBP	STAT1
CREBBP	STAT5A
CREBBP	STAT5B
PIK3R5	HRAS
HRAS	FOS
CREBBP	STAT3
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	HRAS
HRAS	JUN
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT1
EHHADH	AOX1
AOX1	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
MAPK1	STAT3
CREB3L4	FOS
CREB3L2	FOS
GLI3	WNT1
GLI3	WNT2
TEAD1	CTGF
TEAD4	SOX2
TEAD3	CCND3
TCF7L1	CCND3
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
PIK3R5	PDPK1
PIK3CG	AKT2
RXRA	SCP2
RXRB	GK
RXRB	ACADL
RXRB	APOA2
MYB	TSC22D3
MYBL1	TSC22D3
STAT3	IRF1
SPI1	ITGB2
SMAD3	MMP9
SP1	MMP9
