HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
MAPK1	TP53
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ESR1
MAPK1	CREB1
MAPK1	ATF4
PIK3R5	HIF1A
MAPK1	ATF2
MAPK1	ETS1
HIF1A	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	MYC
HIF1A	EP300
HIF1A	ARNT
HRAS	MAPK8
MAPK8	JUND
MAPK1	ELK1
ELK1	EGR1
ITGB2	PTK2
PTK2	MAPK1
ITGB2	CRK
CRK	ABL1
ABL1	RB1
ITGB2	PIK3R5
PIK3R5	PLCE1
PIK3R5	AKT3
AKT3	NFKB1
AKT3	JUN
CREBBP	SP1
ITGB2	SRC
SRC	CTNNB1
CTNNB1	LEF1
SRC	STAT3
STAT3	ESR1
AKT3	CREB1
AKT3	ATF4
AKT3	ATF2
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
AKT3	CREB3
AKT3	ATF6B
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
PIK3R5	GSK3B
GSK3B	MYC
PTK2	MAPK14
MAPK14	JUND
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI3	PTCH1
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
CREB3L4	IL8
RELA	IL6
CREBBP	ENO3
CREBBP	PFKL
EP300	ENO3
EP300	PFKL
HIF1A	ENO3
MITF	TYR
RBPJL	HES1
EPAS1	PGF
HIF1A	TGFA
NFKB2	TRAF3
IRF1	IL12A
PPARA	CYP8B1
PPARA	ACADM
PPARG	FABP4
PPARG	PCK2
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA8
NFYA	HLA-DQB1
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK12	IL1A
RFXANK	HLA-DMA
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYB	TSC22D3
MYBL1	TSC22D3
ELK1	CCT8
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
REL	CSF2
SP3	CTSL
PPARG	GADD45A
RARA	GADD45A
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
ETV4	MMP9
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
RARG	S100A8
NFIC	SFTPC
SP1	SPP1
HOXA4	TH
TFAP2A	TIMP1
SMAD4	TNNC1
USF1	TP53
