HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CREB1
MAPK1	ATF2
HRAS	JUN
MAPK1	MYC
MAPK1	ETS1
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	SP1
HRAS	RAF1
RAF1	RELA
HRAS	MAPK3
HRAS	FOS
HRAS	MAPK14
MAPK14	MAX
RAF1	NFKB1
MAPK1	STAT3
HRAS	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
NFKB1	NFKB2
MAPK1	ELK1
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
NFKB1	MYB
ETS1	SPI1
MAPK1	ETS2
MAPK1	SMAD3
LEF1	PPARD
PIK3R5	MTOR
MTOR	PPARG
MAPK14	CEBPB
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
EGFR	CTNNB1
HIF1A	ARNT
CREB3	ATF1
HRAS	MAPK8
MAPK8	JUND
ITGB2	PTK2
PTK2	MAPK1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	CREB1
AKT3	ATF2
AKT3	JUN
PIK3R5	GSK3B
GSK3B	MYC
AKT3	CREB3
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
ITGB2	SRC
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	SP1
AKT3	RELA
PTK2	MAPK3
PIK3R5	HRAS
PTK2	MAPK14
AKT3	NFKB1
SRC	STAT3
STAT3	STAT1
AKT3	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
EGFR	SOS1
EGFR	SOS2
STAT3	ESR1
PIK3R5	PLCE1
AKT3	CHUK
CHUK	NFKB2
ITGB2	CRK
CRK	ABL1
ABL1	RB1
MAPK14	JUND
JUP	MYC
JUP	CCND1
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L3	FOSB
CREB3L1	CRH
ATF6B	FOS
ATF4	FOS
GLI2	WNT5A
GLI3	WNT4
TP53	GADD45G
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
JUN	CDK5
JUN	NFKB1
FOS	CCND1
MYC	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
ARNT	EDN1
ARNT	ENO1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	ID4
YAP1	CCND1
YAP1	AXIN2
YAP1	NKD1
WWTR1	FGF1
WWTR1	AREG
WWTR1	SERPINE1
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	SOX2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	AXIN1
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	SOX2
TEAD1	CCND2
TEAD4	CTGF
TEAD4	MYC
