AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ETS1
MAPK1	JUN
MAPK1	FOS
MAPK1	MYC
PRKACA	XBP1
XBP1	CEBPA
ETS1	SPI1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	SMAD2
SMAD2	E2F4
CEBPA	E2F1
MAPK1	ETS2
PRKACA	RELA
PRKACA	CREB1
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT3
MAPK1	STAT1
PRKACA	ATF1
NFKB1	MYB
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	PAX8
CREBBP	EPAS1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	ESR1
RARA	CCNA1
TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
CREB3L1	FOS
CREB5	PDYN
RELA	BIRC7
GLI1	HHIP
GLI1	WNT2B
GLI1	WNT5B
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER3
CLOCK	PER2
FOSB	GRIA2
FOSB	NFKB1
CREB3	IL8
CREB1	IL8
MAPK9	JUN
MAPK9	SMAD4
CREB3L1	IL8
CREB5	PCNA
CREBBP	PFKFB1
CREBBP	PFKFB2
CREBBP	VEGFA
CREBBP	HKDC1
EP300	PFKFB1
EP300	PFKFB2
EP300	VEGFA
EP300	HKDC1
HIF1A	PFKFB1
HIF1A	PFKFB2
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
LEF1	CCND2
TCF7	SNAI2
TCF7	CCND3
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
STAT5A	SOCS7
STAT6	SOCS4
PAX6	PDX1
CREBBP	MITF
MITF	TYRP1
LEF1	MITF
NFKB1	IL1B
NFKB1	CCL4L2
NFKB1	PLAU
NFKB1	PTGS2
NFKB1	TRAF1
NFKB1	TRAF2
NFKB2	TNFSF13B
NFKB2	ICAM1
RELA	NFKBIA
RELA	PLAU
RELA	TRAF1
RELB	ICAM1
RELB	CCL13
PIK3R5	AKT1
PIK3CA	AKT3
PIK3CA	AKT1
PIK3CD	PDPK1
PIK3CG	PDPK1
PIK3R1	AKT3
PIK3R2	AKT3
PLCG2	EGFR
PIK3R3	PDPK1
RBPJL	PTCRA
STAT3	VEGFA
EPAS1	TGFB2
FOS	VEGFA
NFKB2	XIAP
RELA	CCND1
CREB3L3	MCL1
CREB5	MCL1
PPARA	ACSL4
PPARD	PDPK1
PPARD	ACOX3
PPARG	GK
RXRA	FABP3
RXRA	UBC
RXRB	GK2
RXRB	PDPK1
NFKB1	CEBPB
NFKB1	IL23A
NFYA	LOC100507714
NFYA	LOC100509457
NFYA	HLA-DOB
NFYC	HLA-DQA2
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK11	NOS2
MAPK9	TNF
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFX5	HLA-DQA1
MAPK12	IL1A
CREB3L3	AQP2
NFAT5	PTGS2
CREB1	ADRB2
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
REL	EGFR
CREB1	ERBB2
ELK1	ERBB2
ETV4	FOS
FLI1	FOS
STAT1	FOS
PPARG	GADD45A
RARA	GADD45A
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
SP1	HRAS
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
ATF2	JUN
ESR1	JUN
SP1	KRT18
SP3	LCAT
NFKB1	LTA
NFKB1	MAT2A
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
TFAP2A	PDHA1
PAX6	PDHX
FOS	PENK
JUN	PENK
PPARD	RELA
CREB1	REN
SP1	SERPINE1
USF2	SERPINE1
USF1	SP1
ETS1	SPP1
PAX8	TG
ATF1	TH
ETV4	TIMP1
JUNB	TIMP1
JUN	TNNC1
NFKB1	TNNC1
FOS	TP53
NFIC	TP53
ERG	VIM
ETV4	VIM
