TNFSF11	TNFRSF11A
TNFRSF11A	NFKB1
NFKB1	TP53
NFKB1	HIF1A
TNFRSF11A	TRAF2
TRAF2	MAPK8
MAPK8	JUN
TNFRSF11A	TRAF6
TRAF6	MAPK1
MAPK1	MYC
TNFRSF11A	RELA
MAPK8	FOS
MAPK8	ELK1
ELK1	EGR1
NFKB1	NOS3
NOS3	CREB1
NFKB1	SOCS3
SOCS3	STAT1
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
CREBBP	SP1
TNFRSF11A	FCGR1A
FCGR1A	PRKCB
PRKCB	PRKACA
PRKACA	XBP1
XBP1	CEBPA
GLI3	WNT5A
JUN	CCND2
CREB1	PCNA
MAPK9	JUN
CREB3L3	IL8
CREBBP	CDKN1A
CREBBP	PFKFB1
CREBBP	TFRC
EP300	CDKN1A
EP300	PFKFB1
EP300	TFRC
HIF1A	CDKN1A
HIF1A	PFKFB1
STAT4	CCND3
STAT5B	CCND2
MITF	TYRP1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
MYD88	IFNA6
MYD88	IFNA13
NFYC	HLA-DMB
NFYC	HLA-DOA
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
CREB3L3	AQP2
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
STAT1	EGFR
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
JUN	MT1A
MYBL2	RBL1
SP1	RPL10
SP1	SERPINE1
MYBL2	SP1
ETS2	SPP1
PAX8	TG
CREB1	TIMP1
JUND	TIMP1
JUN	TNNC1
MYC	TP53
NFKB1	TP53
ERG	VIM
