DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	NFKB1
MAPK1	RELA
GNAI1	HRAS
HRAS	JUN
HRAS	FOS
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
ADRA1A	GNAQ
GNAQ	HRAS
CALM1	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
CALM2	HRAS
CALM3	HRAS
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
PIK3R5	AKT3
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PRKCA	FOS
NPAS2	PER2
CLOCK	RORC
MITF	TYR
VDR	TRPV6
NFKB1	GADD45B
RELB	CCL21
PIK3CD	AKT1
RXRA	UCP1
RXRB	CYP4A22
USF1	CTSB
BRCA1	PCNA
FOS	PDHA1
