DRD2	GNAI1
GNAI1	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
GNAI1	MAPK1
MAPK1	CREB1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	CREB3
CREB3	ATF1
MAPK1	NFKB1
ADRA1A	PRKAG2
PRKAG2	MTOR
PRKAG2	CRTC2
CRTC2	CREB1
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
CRTC2	CREB3
MTOR	AKT3
AKT3	NFKB1
CALM1	HRAS
HRAS	PIK3R5
CALM1	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CAMK2A	ATF1
HRAS	RAF1
RAF1	NFKB1
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PIK3R5
PLCD3	PRKCA
PRKCA	CREB1
PRKCA	CREB3
PIK3R5	AKT3
STAT4	SOCS5
MAX	CKS1B
MYC	VEGFC
NFKB2	TRAF5
FOXO3	CDKN1B
PPARA	DBI
PPARA	ACSBG2
PPARG	ACSL1
RXRA	APOA5
MAPK3	NOS2
MAPK3	IL23A
PPARA	CYP1A1
SP1	CYP21A2
JUNB	DCN
