ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MTOR	PPARG
PRKCA	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKCA	CREB1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	NEUROD1
NEUROG3	NKX2-2
NEUROG3	PAX6
CREB3	ATF1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK1	ETS1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	EGLN2
EGLN2	EPAS1
PRKCA	FOS
MAPK1	STAT1
STAT1	MYD88
CREB3L3	FOS
NFKB1	XIAP
RELA	XIAP
GLI1	WNT2
GLI1	WNT8B
GLI2	WNT16
ELK1	BIRC2
CREB3	IL8
NFKB1	TNF
MAPK8	SMAD4
RELA	MMP9
CREB3L1	IL8
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PGF
CREBBP	VEGFA
EP300	SERPINE1
EP300	PDK1
EP300	PGF
EP300	VEGFA
HIF1A	SERPINE1
HIF1A	PDK1
FOXO1	PCK1
FOXO1	FBP2
SOS2	CCND3
STAT1	MYC
STAT1	SOCS1
STAT1	SOCS3
NFKB1	CXCL2
NFKB1	NFKBIA
RELA	CCL4L2
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CB	AKT1
PIK3CG	AKT2
HIF1A	PDGFB
HIF1A	TGFA
MYC	VEGFA
NFKB2	BIRC7
IRF1	IL12A
CREB3L4	MCL1
PPARA	FABP1
PPARA	ACADM
PPARA	SCP2
PPARG	ACSL4
PPARG	PCK2
RXRA	NR1H3
RXRB	SCP2
RXRG	CPT1C
NFYB	HLA-DPB1
NFYB	HLA-DQA1
MAPK1	IL6
RFXAP	HLA-DRB4
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CD9
ESR1	CGA
ETS2	CGA
CREB1	ERBB2
ELK1	ERBB2
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
NFKB1	HMOX1
JUNB	IVL
NFIC	JUN
SP3	KLK3
SP1	LDHA
USF1	LIPC
SP3	MAT2B
ESR1	PTMA
PPARD	RELA
PPARA	SERPINE1
PPARG	SERPINE1
ETS1	SLC26A3
USF1	SP1
JUN	TFRC
CREB1	TG
HOXA5	TH
ETV4	TIMP1
ERG	TNNC1
FLI1	TNNC1
SP3	TNNC1
FOS	TP53
HIF1A	VHL
TFAP2A	VHL
