CA1	TFCP2
TFCP2	SUMO1
SUMO1	PML
PML	JUN
TFCP2	HDAC2
HDAC2	SP1
SUMO1	TP53
TFCP2	HDAC1
HDAC1	STAT3
HDAC1	CREB1
HDAC2	HIF1A
SUMO1	DAXX
DAXX	ETS1
HDAC2	CREBBP
HDAC1	EP300
HDAC1	STAT1
PML	ARNT
HDAC2	MYC
MYC	ZBTB17
SUMO1	PIAS2
SUMO1	UBE2I
UBE2I	PPARA
PML	RXRA
HDAC2	RARA
RARA	RXRB
SUMO1	NR1H4
NR1H4	RXRG
RARA	ARNTL
SUMO1	TRAF4
TRAF4	NPAS2
RARA	CLOCK
HDAC1	NFKB1
DAXX	SMAD4
SUMO1	MCM3
MCM3	EPAS1
STAT3	PIM1
SMAD4	CDKN2B
TP53	GADD45G
ZBTB17	CDKN2B
CREB1	PER1
CREB1	PER2
ARNTL	PER1
ARNTL	PER2
NPAS2	PER1
NPAS2	PER2
CLOCK	PER1
CLOCK	PER2
JUN	CDK5
CREBBP	TFRC
CREBBP	VEGFA
EP300	TFRC
EP300	VEGFA
HIF1A	TFRC
HIF1A	VEGFA
ARNT	TFRC
ARNT	VEGFA
SMAD4	ID4
STAT1	PIM1
TP53	SIAH1
NFKB1	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	TGFB3
EPAS1	VEGFA
ETS1	VEGFA
HIF1A	TGFB3
JUN	VEGFA
MYC	CKS1B
MYC	VEGFA
PIAS2	CDKN2B
PPARA	HMGCS2
PPARA	ACOX2
RXRA	HMGCS2
RXRA	ACOX2
RXRB	HMGCS2
RXRB	ACOX2
RXRG	HMGCS2
RXRG	ACOX2
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
STAT3	CSRP1
NFKB1	F8
JUN	GJA1
SP1	GJA1
TP53	PLK1
ETS1	SLC26A3
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
