HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	SP1
MAPK1	ATF2
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ITCH	JUN
JUN	CREB3
ITCH	PTCH1
PTCH1	ATF6B
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	YWHAQ
YWHAQ	E2F1
ARRB2	XRCC5
XRCC5	BRCA1
ADRB2	SHMT2
SHMT2	E2F2
TRIM28	E2F3
ARRB2	SFPQ
SFPQ	SP3
ARRB2	CSNK2A1
CSNK2A1	ATF1
NFKBIA	NFKB1
ARRB2	MAP2K4
MAP2K4	MAPK8
MAPK8	PAX2
C1QBP	CEBPA
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	HNRNPA1
HNRNPA1	BCL2L1
BCL2L1	BBC3
ARRDC3	WWP1
WWP1	SMAD4
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
TP53	ETS1
NEDD4	SMAD2
SMAD2	ETV4
ARRB2	PRMT5
PRMT5	RELA
ARRB2	POLR2E
POLR2E	FOS
E2F1	TFDP2
NEDD4	PPARG
AKT1	RARA
SMAD2	RARB
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
ARRB2	PARK2
PARK2	MEOX2
MEOX2	PAX1
NEDD4	ARID1A
ARID1A	RARG
ADRB2	STAT3
ITCH	GLI1
YWHAQ	YAP1
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
ARRB2	STAT1
GLI1	PTCH1
GLI1	WNT11
GLI2	PTCH1
GLI2	WNT11
GLI3	PTCH1
GLI3	WNT11
E2F1	CCNE1
E2F1	CCNE2
E2F2	CCNE1
E2F2	CCNE2
E2F3	CCNE1
E2F3	CCNE2
TFDP2	CCNE1
TFDP2	CCNE2
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
HIF1A	ANGPT1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	FGF1
YAP1	BIRC5
NFKB1	VCAM1
RELA	VCAM1
BBC3	TP53AIP1
BBC3	TP53
TP53	IGFBP3
TP53	GTSE1
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
PPARG	OLR1
RXRA	OLR1
RXRB	OLR1
RXRG	OLR1
SMAD4	PITX2
SP1	CDK1
SP1	COL4A1
TP53	MKI67
ATF1	BRCA1
CREB1	BRCA1
USF2	BRCA1
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	CDC6
E2F4	CDK1
E2F4	DHFR
ETS1	DNTT
ATF1	ERBB2
CREB1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPA	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
TFAP2A	MMP2
TP53	MMP2
CEBPA	NFYB
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
E2F4	POLE2
NFIC	POLE2
PPARG	POU2F1
E2F4	RBL1
RARA	S100A8
RARB	S100A8
RARG	S100A8
RARA	S100A9
RARB	S100A9
RARG	S100A9
SP1	TAF7
TFAP2A	TAF7
E2F4	TK1
CEBPA	TK1
MYC	TP53
FOS	TP53
HIF1A	TP53
JUN	TP53
NFIC	TP53
NFKB1	TP53
PAX2	TP53
STAT1	TP53
TP53	TP53
TP53	TYMS
USF2	TYMS
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
