CHRM1	GPRASP2
GPRASP2	TRIM32
TRIM32	RXRA
GPRASP2	TXN
TXN	NR3C1
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
GPRASP2	LRIF1
LRIF1	PPARG
GPRASP2	EIF3E
EIF3E	NCOA3
NCOA3	CEBPA
TXN	TP53
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	NFIC
EIF3E	ATM
ATM	FOXO3
GPRASP2	AGO1
AGO1	STUB1
STUB1	FOXO1
HSP90AA1	ARNTL
HSP90AA1	NPAS2
RXRA	CLOCK
CHRM2	Set
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
CHRM2	SET
SET	NR3C1
NR3C1	NCOR2
NCOR2	RXRG
NR3C1	PPARG
Set	Csnk1e
Csnk1e	C1QBP
C1QBP	CEBPA
SET	TP53
NR3C1	HSP90AA1
SET	APP
APP	MYC
MYC	FOXO3
Set	Tcp1
Tcp1	Ubc
Ubc	FOXO1
Csnk1e	CRY1
CRY1	ARNTL
CRY1	NPAS2
Csnk1e	CSNK1E
CSNK1E	CLOCK
CHRM3	SET
APP	GSK3B
GSK3B	RXRA
APP	MAPK8
MAPK8	CEBPA
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
CSNK1A1	MDM2
MDM2	FOXO3
MDM2	FOXO1
CSNK1A1	CSNK1E
CSNK1E	ARNTL
ARNTL	RORA
NPAS2	RORA
CLOCK	RORA
FOXO1	PCK2
TP53	FAS
TP53	BAX
TP53	RRM2
FOXO3	PCK2
PPARG	CYP27A1
PPARG	PCK2
RXRA	CYP27A1
RXRA	PCK2
RXRB	CYP27A1
RXRB	PCK2
RXRG	CYP27A1
RXRG	PCK2
CEBPA	PCK2
NFIC	PCK2
